id;local_name;en_wiki_mainaffiliation;en_wiki_subaffiliations;en_wiki_age;en_wiki_aliases;en_wiki_bounty;en_wiki_dfname;en_wiki_dftype;en_wiki_first;en_wiki_height;en_wiki_occupation_actuelle;en_wiki_autres_occupations;en_wiki_origin;en_wiki_status;fr_wiki_page_title;fr_wiki_image_url;fr_wiki_match_status;fr_wiki_match_via;fr_wiki_A;fr_wiki_acteur;fr_wiki_affiliation;fr_wiki_âge;fr_wiki_alias;fr_wiki_ancien_nomf;fr_wiki_capitaine;fr_wiki_Chapitres;fr_wiki_cp9clé;fr_wiki_Date;fr_wiki_df2nom;fr_wiki_df2nomf;fr_wiki_df2signifiant;fr_wiki_df2type;fr_wiki_dfnom;fr_wiki_dfnomf;fr_wiki_dftype;fr_wiki_doriki;fr_wiki_Ending;fr_wiki_épithète;fr_wiki_Format;fr_wiki_groupe_sanguin;fr_wiki_lieuvie;fr_wiki_naissance;fr_wiki_navire;fr_wiki_nom;fr_wiki_Nom;fr_wiki_nom_réel;fr_wiki_nomf;fr_wiki_Nomf;fr_wiki_nomj;fr_wiki_Nomj;fr_wiki_nomr;fr_wiki_Nomr;fr_wiki_numgladiateur;fr_wiki_numzombie;fr_wiki_occupation;fr_wiki_Opening;fr_wiki_origine;fr_wiki_P;fr_wiki_particularités;fr_wiki_Piece;fr_wiki_poids;fr_wiki_premiere;fr_wiki_première;fr_wiki_prime;fr_wiki_Saison;fr_wiki_SaisonKHV;fr_wiki_signe_astrologique;fr_wiki_signifiant;fr_wiki_statut;fr_wiki_taille;fr_wiki_titre;fr_wiki_Tomes;fr_wiki_vf;fr_wiki_vo
hiluluk;Hiluluk;Drum Island;Aucune;68;Dokuta Hiruruku;;;;"Chapter 141; Episode 85";213 cm;Doctor;Thief;Drum Kingdom;Deceased;Hiluluk;https://static.wikia.nocookie.net/onepiece/images/e/ee/Hiluluk_Anime_Infobox.png/revision/latest/scale-to-width-down/267;ok;candidate:Hiluluk;;Mark Harelik;Royaume des Cerisiers;68 ans;;;;;;;;;;;;;;;;"""Dr. Hiriluk"" (Dr.ヒルルク, Dokutā Hiruruku)";;F;;12 Janvier;;Hiluluk;;;Hiluluk;;ヒルルク;;Hiruruku;;;;Docteur Voleur;;Île de Drum;;;;;;"Chapitre 140 ; Épisode 85Chapitre 0 ; Épisode 0";;;;Capricorne;;Décédé;2m13;;;;
tom;Tom;Tom's Workers;Aucune;67;Tomu;;;;"Chapter 352; Episode 248";296 cm;Shipwright;;Ryugu Kingdom;Deceased;Tom;https://static.wikia.nocookie.net/onepiece/images/a/a9/Tom_Anime_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Tom;;;Tom's Workers;67 ans (lors du décès);;;;;;;;;;;;;;;;;;F (B);;16 Mars;;Tom;;;Tom;;トム;;Tomu;;;;Charpentier;;Île des Hommes-Poissons (Royaume Ryugu);;;;;;"Chapitre 352 ; Épisode 248Chapitre 0 ; Épisode 0";;;;;;Décédé;2m96;;;;
vegapunk;Vegapunk;MADS;"Marines, SSG";65;"Stella,Sutera,kanji literally meaning 'Main Body,The Man With the Best Brain in the World,Sekaiichi no Zuno o Motsu Otoko,'The Smartest Man in the World,Dokuta Begapanku";;Nomi Nomi no Mi;Paramecia;"Chapter 684; Episode 610 (shadowed)Chapter 1061; Episode 1090 (satellite)Chapter 1066; Episode 1096";314cm;Scientist;;Karakuri Island;Deceased;Vegapunk;https://static.wikia.nocookie.net/onepiece/images/b/b9/Vegapunk_Anime_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Vegapunk;;;Gouvernement MondialMADS;65 ans;"""Stella"" (本体（ステラ）, Sutera)";;;;;;;;;;Nomi Nomi no Mi;Fruit du ciboulot;Paramecia;;;"""Dr. Vegapunk"" (Dr.ベガパンク, Dokutā Begapanku)";;S;Punk Hazard Île d'Egg Head;9 août;;Végapunk;;;Végapunk;;ベガパンク;;Begapanku;;;;ScientifiqueLauréat du Prix Ibel de la paix;;Grand Line (Baldimore);;;;;;"Chapitre 1066 ; Épisode 1096Chapitre 1061 (satellite)Chapitre 684 ; Épisode 610 (silhouette)Chapitre 433 ; Épisode 315 (mentionné)";;;;;Cerveau;Décédé;"3m14 (10'4"")";;;;
kurozumi-orochi;Kurozumi Orochi;Kurozumi Family;"Beasts Pirates, Wano";54;Kurozumi Orochi;;"Hebi Hebi no Mi, Model: Yamata no Orochi";Mythical Zoan;"Chapter 927; Episode 921";350 cm;Shogun of Wano Country;;Wano Country;Deceased;Kurozumi Orochi;https://static.wikia.nocookie.net/onepiece/images/4/49/Kurozumi_Orochi_Anime_Infobox.png/revision/latest/scale-to-width-down/267;ok;candidate:Kurozumi_Orochi;;;Équipage des cent bêtes;54 ans;;;;;;;;;;;"Hebi Hebi no Mi, modèle Yamata no Orochi";"Fruit du Reptile, modèle Serpent à Huit Têtes";Zoan Mythique;;;;;XF;Pays des Wa;23 Septembre;;Kurozumi Orochi;;;Orochi Kurozumi;;黒炭オロチ;;Kurozumi Orochi;;;;Ancien shogun du pays des Wa;;Pays des Wa;;;;;;"Chapitre 927 ; Épisode 921";;;;Vierge;"Serpent ; Serpent à huit têtes";Décédé;3m50;;;;
gol-d-roger;Gol D. Roger;Roger Pirates;Clan of D.;53;"Gold Roger,Gorudo Roja,Pirate King,Kaizoku-O,King of the Pirates,English versions,Goru Di Roja";"5,564,800,000";;;"Chapter 1; Episode 1";274 cm;Pirate Captain;;Loguetown;Deceased;Gol D. Roger;https://static.wikia.nocookie.net/onepiece/images/2/24/Gol_D._Roger_Anime_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Gol_D._Roger;;Michael Dorman;L'Équipage des Pirates Roger East Blue (Loguetown);53 ans (lors de sa mort);"""Gold Roger"" (ゴールド・ロジャー, Gōrudo Rojā)";Gold D. Roger (Hachette);;;;;;;;;;;;;;"""Le Roi des Pirates"" (海賊王,Kaizoku-Ō)";;S;;31 décembre;;Gol D. Roger;;;Gol D. Roger;;ゴール・D・ロジャー;;Gōru Dī Rojā;;;;Capitaine Pirate Roi des Pirates;;Logue Town;;;;;;"Chapitre 1 ; Épisode 1Chapitre 0 ; Épisode 0";5.564.800.000;;;;;Décédé;2m74;;;;
fisher-tiger;Fisher Tiger;Sun Pirates;Fish-Man District;48;"The Adventurer,Bokenka,Hero of Slaves,Dorei Kaiho no Eiyu,Fissha Taiga";"230,000,000";;;"Chapter 521; Episode 415";520 cm;Adventurer;"Pirate; Captain; De-facto Leader of Fish-Man District; Slave";Ryugu Kingdom;Deceased;Fisher Tiger;https://static.wikia.nocookie.net/onepiece/images/c/c5/Fisher_Tiger_Anime_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Fisher_Tiger;;;L'Équipage des Pirates du SoleilDistrict des Hommes-Poissons;48 ans;;;;;;;;;;;;;;;;"""L'Aventurier"" (冒険家, Bōkenka)""Le Héros des Esclaves"" (奴隷解放の英雄, Dorei Kaihō no Eiyū)";;"S, RH-";;5 Novembre;;Fisher Tiger;;;Fisher Tiger;;フィッシャー・タイガー;;Fisshā Taigā;;;;AventurierCapitaine PirateLeader du District des Hommes-Poissons;;Île des Hommes-Poissons (Royaume Ryugu);;;;;;"Chapitre 521 ; Épisode 415";230.000.000;;;Scorpion;;Décédé;5m20;;;;
vergo;Vergo;Donquixote Pirates;"Marines,Marine G-5";41;"Corazon,Korason,Demon Bamboo' Vergo,Kichiku no Verugo,Verugo";;;;"Chapter 671; Episode 597";247 cm;Pirate Elite Officer;"Vice Admiral; Head of G-5; Marine Captain";North Blue;Deceased;Vergo;https://static.wikia.nocookie.net/onepiece/images/c/cf/Vergo_Anime_Infobox.png/revision/latest/scale-to-width-down/267;ok;candidate:Vergo;;;L'Équipage de Don Quichotte Doflamingo Marines G-5;41 ans;;;;;;;;;;;;;;;;"""Le Démon au Bambou"" (鬼竹のヴェルゴ, Kichiku no Verugo) ""Corazon"" (コラソン, Korason)";;X;G-5;5 Juillet;;Vergo;;;Vergo;;ヴェルゴ;;Verugo;;;;Pirate Vice-Amiral Corazon;;North Blue;;;;;;"Chapitre 671 ; Épisode 597";;;;;;Décédé;2m47;;;;
kalgara;Kalgara;Shandia;Aucune;39;"The Demon of Shandora,Shandora no Mamono,The Great Warrior of Shandora,Shandora no Dai Senshi,Karugara";;;;"Chapter 286; Episode 187";222 cm;Warrior;;Jaya;Deceased;Kalgara;https://static.wikia.nocookie.net/onepiece/images/a/ad/Kalgara_Anime_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Kalgara;;;Shandias;39 ans;;;;;;;;;;;;;;;;"""Le Démon de Shandora"" (シャンドラの魔物, Shandora no Mamono)";;X;;4 Octobre;;Kalgara;;;Calgara;;カルガラ;;Karugara;;;;Guerrier;;Grand Line;;;;;;"Chapitre 286 ; Épisode 187";;;;;;Décédé;2m22;;;;
kozuki-oden;Kozuki Oden;Kouzuki Family;"Roger Pirates,Whitebeard Pirates";39;"Idiot Lord,Bakatono,'Fool of a Lord,Kozuki Oden";Unknown;;;"Chapter 920; Episode 910";382 cm;Samurai;"Daimyo; Pirate; 2nd Division Commander";Wano Country;Deceased;Kozuki Oden;https://static.wikia.nocookie.net/onepiece/images/6/62/Kozuki_Oden_Anime_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Kozuki_Oden;;;Famille Kozuki Équipage des Pirates de Roger Équipage de Barbe Blanche;39 ans (à sa mort);;;;;;;;;;;;;;;;;;F;Pays de Wa Kuri;22 Février;;Kozuki Oden;;;Oden Kozuki;;光月おでん;;Kōzuki Oden;;;;Pirate Shogun du pays de Wa Commandant de la 2e division de l'équipage de Barbe Blanche;;Pays des Wa;;;;;;"Chapitre 920 ; Épisode 910 (silhouette) Chapitre 959";Inconnue;;;Poisson;;Décédé;3m82;;;;
otohime;Otohime;Neptune Family;Ryugu Kingdom;36;"Incarnation of Love,Ai no Keshin,Otohime";;;;"Chapter 621; Episode 539 (image), Episode 540";224 cm;Queen of the Ryugu Kingdom;;Ryugu Kingdom;Deceased;Otohime;https://static.wikia.nocookie.net/onepiece/images/c/c7/Otohime_Anime_Infobox.png/revision/latest/scale-to-width-down/267;ok;candidate:Otohime;;;"Île des Hommes-Poissons; Famille Royale; Royaume Ryugu";36 ans;;;;;;;;;;;;;;;;"""Incarnation de l'Amour"" (愛の化身 Ai no Keshin)";;S;;10 Janvier;;Otohime;;;Otohime;;オトヒメ;;Otohime;;;;Reine du Royaume Ryugu;;Île des Hommes-Poissons (Royaume Ryugu);;;;;;"Chapitre 621; Épisode 540";;;;;;Décédée;2m24;;;;
yorle;Yorle;Giant Warrior Pirates;Elbaph;344;"Waterfall Beard' Jorul,Takihige no Yoruru,Beardfall,Yoruru";;;;"Chapter 866; Episode 836";2150 cm;Pirate Captain;;Elbaph;Deceased;Yorle;https://static.wikia.nocookie.net/onepiece/images/b/b1/Yorle_Anime_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Yorle;;;L'Équipage des Géants Erbaf;344 ans;;;;;;;;;;;;;;;;"Yorle ""Barbecade"" (滝ひげのヨルル, Takihige no Yoruru, Glénat: Jorl à la Barbe en cascade)";;F (B);Erbaf;4 Décembre;;Yorle;;;Jorl;;ヨルル;;Yoruru;;;;Pirate Capitaine;;Erbaf;;;;;;"Chapitre 866 ; Épisode 836";;;;;;Décédé;21m50;;;;
kurozumi-kanjuro;Kurozumi Kanjuro;Kurozumi Family;"Kouzuki Family,Nine Red Scabbards,Ninja-Pirate-Mink-Samurai Alliance,Beasts Pirates";34;"Evening Shower,Yudachi,Ghost of Kibi,Kibi no Yokai,VIZ Media: Goblin of Kibi,Kurozumi Kanjuro";;Fude Fude no Mi;Paramecia;"Chapter 700; Episode 629";347 cm;Theatre Performer;"Spy of the Kurozumi Family; Samurai; Retainer of the Kouzuki Family";Wano Country;Deceased;Kurozumi Kanjuro;https://static.wikia.nocookie.net/onepiece/images/a/ad/Kurozumi_Kanjuro_Anime_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Kurozumi_Kanjuro;;;Famille KurozumiFamille Kozuki Neuf Fourreaux Rouges Alliance des Ninjas-Pirates-Minks-Samouraïs;34 ans;;;;;;;;;;;Fude Fude no Mi;;Paramecia;;;"""La Douche du Soir"" (夕立ち Yūdachi), ""L'Orageux"" (VF)";;X (A);;21 Juillet;;Kurozumi Kanjuro;;;Kanjuro Kurozumi;;黒炭カン十郎;;Kurozumi Kanjūrō;;;;Samouraï;;Pays des Wa;;;;;;"Chapitre 700 ; Épisode 629";;;;;Pinceau;Décédé;3m47;;;;
nico-olvia;Nico Olvia;Ohara Archaeologists;Aucune;33;Niko Orubia;"79,000,000";;;"Chapter 392; Episode 275";186 cm;Archaeologist;;Ohara;Deceased;Nico Olvia;https://static.wikia.nocookie.net/onepiece/images/f/fc/Nico_Olvia_Anime_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Nico_Olvia;;;Ohara;33 ans;;;;;;;;;;;;;;;;;;;;6 Février;;Nico Olvia;;;Nico Olvia;;ニコ･オルビア;;Niko Orubia;;;;Archéologue;;West Blue (Ohara);;;;;;"Chapitre 392 ; Épisode 275";79 000 000;;;;;Décédée;1m86;;;;
pedro;Pedro;Mokomo Dukedom;"Guardians,Ninja-Pirate-Mink-Samurai Alliance,Nox Expedition Party\Pirates";32;"Pedro of the Treetops,Ki no Ue no Pedoro,'Treetop Pedro,Pedoro";"382,000,000";;;"Chapter 805; Episode 754";233 cm;Captain of the Guardians;"Pirate Captain; Explorer";Mokomo Dukedom;Deceased;Pedro;https://static.wikia.nocookie.net/onepiece/images/c/c8/Pedro_Anime_Infobox.png/revision/latest/scale-to-width-down/267;ok;candidate:Pedro;;;"Zo, Pirates de Nox";32 ans (biologiquement) 82 ans (espérance de vie dépensée);;;;;;;;;;;;;;;;"""Pedro des cimes"" (木の上のペドロ, Ki no Ue no Pedoro); Glénat: ""Pedro le perché""";;F;;16 Juin;;Pedro;;;Pedro;;ペドロ;;Pedoro;;;;"Capitaine des Gardiens de Zo, Pirates , Capitaine";;Zou (Principauté de Mokomo);;;;;;"Chapitre 805, Épisode 754";"382,000,000";;;;;Décédé;2m33;;;;
monet;Monet;Caesar Clown;Donquixote Pirates;30;Mone;;Yuki Yuki no Mi;Logia;"Chapter 657; Episode 581";227 cm;Caesar's secretary;"Doflamingo's spy; Pirate Officer";North Blue;Deceased;Monet;https://static.wikia.nocookie.net/onepiece/images/9/98/Monet_Anime_Infobox.png/revision/latest/scale-to-width-down/268;ok;candidate:Monet;;;César Clown (espionnage) Équipage de Don Quijote;30 ans;;;;;;;;;;;Yuki Yuki no Mi;Fruit du Flocon;Logia;;;"""La Femme-Neige"" (雪女 Yuki-Onna)";;X;Punk Hazard Dressrosa;27 Août;;Monet;;;Monet;;モネ;;Mone;;;;Secrétaire (couverture) Espionne Pirate;;North Blue;;;;;;"Chapitre 657 ; Épisode 581";;;;;Neige;Décédée;2m27;;;;
bellemere;Bellemere;Marines;Aucune;30;Berumeru;;;;"Chapter 77; Episode 32";186 cm;Mikan Farmer;Marine Officer;Conomi Islands;Deceased;Épisode 539;https://static.wikia.nocookie.net/onepiece/images/3/33/%C3%89pisode_539_Infobox.png/revision/latest/scale-to-width-down/268;ok;search:Bellemère:Épisode_539;← Précédent;;;;;;;Chapitre(s);;18 mars 2012;;;;;;;;;Ending;;16:9 (HD);;;;;;Des liens hantés qui refont surface ! Nami et l'équipage des Hommes-Poissons !;;;Des liens hantés qui refont surface ! Nami et l'équipage des Hommes-Poissons !;;蘇る因縁！ ナミと魚人化遺族団！;;Yomigaeru Innen! Nami to Gyōjin Kaizokudan!;;;;Opening;;Suivant →;;Piece;;;;;Saison;Saison;;;;;;Tome(s);;
