id;local_name;en_wiki_mainaffiliation;en_wiki_subaffiliations;en_wiki_aliases;en_wiki_bounty;en_wiki_dftype;en_wiki_occupation_actuelle;en_wiki_autres_occupations;en_wiki_origin;fr_wiki_affiliation;fr_wiki_aliases;fr_wiki_dftype;fr_wiki_lieuvie;fr_wiki_occupation;fr_wiki_origine;fr_wiki_prime;final_age;final_height;final_status;final_premiere;final_dfname;final_bounty
hiluluk;Hiluluk;Drum Island;Aucune;Dokuta Hiruruku;;;Doctor;Thief;Drum Kingdom;Royaume des Cerisiers;Dr. Hiriluk, Hiluluk, Hiruruku, Dokutā Hiruruku;;;Docteur Voleur;Île de Drum;;68 ans;213 cm;Décédé(e);"Chapitre 141 ; Épisode 85";Aucun;Aucune
tom;Tom;Tom's Workers;Aucune;Tomu;;;Shipwright;;Ryugu Kingdom;Tom's Workers;Tom, Tomu;;;Charpentier;Île des Hommes-Poissons, Royaume Ryugu;;67 ans;296 cm;Décédé(e);"Chapitre 352 ; Épisode 248";Aucun;Aucune
vegapunk;Vegapunk;MADS;Marines, SSG;Stella,Sutera,kanji literally meaning 'Main Body,The Man With the Best Brain in the World,Sekaiichi no Zuno o Motsu Otoko,'The Smartest Man in the World,Dokuta Begapanku;;Paramecia;Scientist;;Karakuri Island;Gouvernement MondialMADS;Stella, Dr. Vegapunk, Végapunk, Begapanku, Sutera, Dokutā Begapanku;Paramecia;Punk Hazard Île d'Egg Head;ScientifiqueLauréat du Prix Ibel de la paix;Grand Line, Baldimore;;65 ans;314 cm;Décédé(e);"Chapitre 684 ; Épisode 610";Nomi Nomi no Mi;Aucune
kurozumi-orochi;Kurozumi Orochi;Kurozumi Family;Beasts Pirates, Wano;Kurozumi Orochi;;Mythical Zoan;Shogun of Wano Country;;Wano Country;Équipage des cent bêtes;Kurozumi Orochi, Orochi Kurozumi;Zoan Mythique;Pays des Wa;Ancien shogun du pays des Wa;Pays des Wa;;54 ans;350 cm;Décédé(e);"Chapitre 927 ; Épisode 921";Hebi Hebi no Mi, Model: Yamata no Orochi;Aucune
gol-d-roger;Gol D. Roger;Roger Pirates;Clan of D.;Gold Roger,Gorudo Roja,Pirate King,Kaizoku-O,King of the Pirates,English versions,Goru Di Roja;5,564,800,000;;Pirate Captain;;Loguetown;L'Équipage des Pirates Roger East Blue (Loguetown);Gold Roger, Gold D. Roger, Le Roi des Pirates, Gol D. Roger, D, Gōru Dī Rojā, Gōrudo Rojā, Hachette, Kaizoku-Ō;;;Capitaine Pirate Roi des Pirates;Logue Town;5.564.800.000;53 ans;274 cm;Décédé(e);"Chapitre 1 ; Épisode 1";Aucun;5 564 800 000
fisher-tiger;Fisher Tiger;Sun Pirates;Fish-Man District;The Adventurer,Bokenka,Hero of Slaves,Dorei Kaiho no Eiyu,Fissha Taiga;230,000,000;;Adventurer;"Pirate; Captain; De-facto Leader of Fish-Man District; Slave";Ryugu Kingdom;L'Équipage des Pirates du SoleilDistrict des Hommes-Poissons;L'Aventurier, Le Héros des Esclaves, Fisher Tiger, Fisshā Taigā, Bōkenka, Dorei Kaihō no Eiyū;;;AventurierCapitaine PirateLeader du District des Hommes-Poissons;Île des Hommes-Poissons, Royaume Ryugu;230.000.000;48 ans;520 cm;Décédé(e);"Chapitre 521 ; Épisode 415";Aucun;230 000 000
vergo;Vergo;Donquixote Pirates;Marines,Marine G-5;Corazon,Korason,Demon Bamboo' Vergo,Kichiku no Verugo,Verugo;;;Pirate Elite Officer;"Vice Admiral; Head of G-5; Marine Captain";North Blue;L'Équipage de Don Quichotte Doflamingo Marines G-5;Le Démon au Bambou, Corazon, Vergo, Verugo, Kichiku no Verugo, Korason;;G-5;Pirate Vice-Amiral Corazon;North Blue;;41 ans;247 cm;Décédé(e);"Chapitre 671 ; Épisode 597";Aucun;Inconnu
kalgara;Kalgara;Shandia;Aucune;The Demon of Shandora,Shandora no Mamono,The Great Warrior of Shandora,Shandora no Dai Senshi,Karugara;;;Warrior;;Jaya;Shandias;Le Démon de Shandora, Kalgara, Calgara, Karugara, Shandora no Mamono;;;Guerrier;Grand Line;;39 ans;222 cm;Décédé(e);"Chapitre 286 ; Épisode 187";Aucun;Aucune
kozuki-oden;Kozuki Oden;Kouzuki Family;Roger Pirates,Whitebeard Pirates;Idiot Lord,Bakatono,'Fool of a Lord,Kozuki Oden;Unknown;;Samurai;"Daimyo; Pirate; 2nd Division Commander";Wano Country;Famille Kozuki Équipage des Pirates de Roger Équipage de Barbe Blanche;Kozuki Oden, Oden Kozuki;;Pays de Wa Kuri;Pirate Shogun du pays de Wa Commandant de la 2e division de l'équipage de Barbe Blanche;Pays des Wa;Inconnue;39 ans;382 cm;Décédé(e);"Chapitre 920 ; Épisode 910";Aucun;Inconnu
otohime;Otohime;Neptune Family;Ryugu Kingdom;Incarnation of Love,Ai no Keshin,Otohime;;;Queen of the Ryugu Kingdom;;Ryugu Kingdom;"Île des Hommes-Poissons; Famille Royale; Royaume Ryugu";Incarnation de l'Amour, Otohime, Ai no Keshin;;;Reine du Royaume Ryugu;Île des Hommes-Poissons, Royaume Ryugu;;36 ans;224 cm;Décédé(e);"Chapitre 621 ; Épisode 540";Aucun;Aucune
yorle;Yorle;Giant Warrior Pirates;Elbaph;Waterfall Beard' Jorul,Takihige no Yoruru,Beardfall,Yoruru;;;Pirate Captain;;Elbaph;L'Équipage des Géants Erbaf;"Yorle ""Barbecade, Yorle, Jorl, Yoruru, Takihige no Yoruru, Glénat: Jorl à la Barbe en cascade";;Erbaf;Pirate Capitaine;Erbaf;;344 ans;2150 cm;Décédé(e);"Chapitre 866 ; Épisode 836";Aucun;Inconnu
kurozumi-kanjuro;Kurozumi Kanjuro;Kurozumi Family;Kouzuki Family,Nine Red Scabbards,Ninja-Pirate-Mink-Samurai Alliance,Beasts Pirates;Evening Shower,Yudachi,Ghost of Kibi,Kibi no Yokai,VIZ Media: Goblin of Kibi,Kurozumi Kanjuro;;Paramecia;Theatre Performer;"Spy of the Kurozumi Family; Samurai; Retainer of the Kouzuki Family";Wano Country;Famille KurozumiFamille Kozuki Neuf Fourreaux Rouges Alliance des Ninjas-Pirates-Minks-Samouraïs;La Douche du Soir, L'Orageux, Kurozumi Kanjuro, Kanjuro Kurozumi, Yūdachi, VF;Paramecia;;Samouraï;Pays des Wa;;34 ans;347 cm;Décédé(e);"Chapitre 700 ; Épisode 629";Fude Fude no Mi;Aucune
nico-olvia;Nico Olvia;Ohara Archaeologists;Aucune;Niko Orubia;79,000,000;;Archaeologist;;Ohara;Ohara;Nico Olvia, Niko Orubia;;;Archéologue;West Blue (Ohara);79 000 000;33 ans;186 cm;Décédé(e);"Chapitre 392 ; Épisode 275";Aucun;79 000 000
pedro;Pedro;Mokomo Dukedom;Guardians,Ninja-Pirate-Mink-Samurai Alliance,Nox Expedition Party\Pirates;Pedro of the Treetops,Ki no Ue no Pedoro,'Treetop Pedro,Pedoro;382,000,000;;Captain of the Guardians;"Pirate Captain; Explorer";Mokomo Dukedom;Zo, Pirates de Nox;"Pedro des cimes"" ; Glénat: ""Pedro le perché, Pedro, Pedoro, Ki no Ue no Pedoro";;;Capitaine des Gardiens de Zo, Pirates, Capitaine;Zou, Principauté de Mokomo;382,000,000;32 ans;233 cm;Décédé(e);"Chapitre 805 ; Épisode 754";Aucun;382 000 000
monet;Monet;Caesar Clown;Donquixote Pirates;Mone;;Logia;Caesar's secretary;"Doflamingo's spy; Pirate Officer";North Blue;César Clown, espionnage, Équipage de Don Quijote;La Femme-Neige, Monet, Mone, Yuki-Onna;Logia;Punk Hazard Dressrosa;Secrétaire, Espionne Pirate;North Blue;;30 ans;227 cm;Décédé(e);"Chapitre 657 ; Épisode 581";Yuki Yuki no Mi;Inconnu
bellemere;Bellemere;Marines;Aucune;Berumeru;;;Mikan Farmer;Marine Officer;Conomi Islands;;Des liens hantés qui refont surface ! Nami et l'équipage des Hommes-Poissons !, Yomigaeru Innen! Nami to Gyōjin Kaizokudan!;;;;;;30 ans;186 cm;Décédé(e);"Chapitre 77 ; Épisode 32";Aucun;Aucune
don-quichotte-rossinante;Don Quichotte Rossinante;Marines;Donquixote Pirates,World Government;Corazon,Korason,Donkihote Roshinante;;Paramecia;Marine Commander;"Pirate Elite Officer; World Noble";Mary Geoise;L'Équipage de Don Quichotte Doflamingo Famille Don Quichotte;Corazon, Cora, Don Quichotte Rossinante, Donquichotte Rosinante, Donkihote Roshinante, Korason;Paramecia;Mary Geoise Spider Miles;Commandant Pirate Dragon Céleste Mentor de Trafalgar Law;Mary Geoise;;26 ans;293 cm;Décédé(e);"Chapitre 761 ; Épisode 700";Nagi Nagi no Mi;Aucune
porchemy;Porchemy;Bluejam Pirates;Aucune;Porushemi;3,400,000;;Pirate;;Goa Kingdom;L'Équipage de Bluejam;Porchemy, Porushēmi;;;Pirate;Royaume de Goa;3.400.000;25 ans;320 cm;Décédé(e);"Chapitre 583 ; Épisode 494";Aucun;3 400 000
portgas-d-ace;Portgas D. Ace;Whitebeard Pirates;Spade Pirates,Clan of D.,Dadan Family,Impel Down;Gol D. Ace,D,Goru D. Esu,Fire Fist' Ace,Hiken no Esu,Heat Fist Trace' in the edited dub,Potogasu Di Esu;550,000,000;Logia;2nd DivisionCommander;"Pirate; Captain; Prisoner of the Great Prison; Thief; Bandit";Baterilla;Équipage de Barbe BlancheL'Équipage des Pirates Spade;Ace Au Poing Ardent, Portgas D. Ace, D, Pōtogasu Dī Ēsu, Hiken No Ēsu;Logia;Mont Corvo;Commandant de la 2e Division de l'équipage de Barbe BlanchePirate, Capitaine;South Blue, Baterilla;550.000.000;20 ans;185 cm;Décédé(e);"Chapitre 154 ; Épisode 91";Mera Mera no Mi;550 000 000
oars;Oars;Thriller Bark Pirates;Aucune;Devil,Majin,'Beast,Continent-Puller,Kunihiki,Ozu;;;Special Zombie;Leader of clan of evil giants;North Blue;Thriller Bark;Odz, Le Démon, Le Transporteur de Continents, Oars, Oz, Ōzu, Majin, Kunihiki;;;Zombie Spécial, leader d'une nation dans le nord regroupant tous les bandits arrêtés.;North Blue;;159 ans;6700 cm;Décédé(e);"Chapitre 456 ; Épisode 350";Aucun;Inconnu
shimotsuki-kuina;Shimotsuki Kuina;Shimotsuki Family;Aucune;Shimotsuki Kuina;;;Trainee Swordsman;;Shimotsuki Village;Famille Shimotsuki;Shimotsuki Kuina;;Village de Shimotsuki;Apprentie épéiste;Village de Shimotsuki;;11 ans;150 cm;Décédé(e);"Chapitre 5 ; Épisode 2";Aucun;Aucune
absalom;Absalom;Equipage de Gecko Moria;Mysterious Four, Thriller Bark;Absa,Abusa,Absalom of the Graveyard,Hakaba no Abusaromu,Abusaromu;;Paramecia;ReporterSoldier Zombies and General Zombies Commander;;West Blue;Gecko MoriaThriller BarkQuatre Mystérieux;Absalom du Tombeau, Absalom, Abusaromu, Hakaba no Abusaromu;Paramecia;;Commandant en Chef des Zombies et des Soldats Zombie Reporter;West Blue;;36 ans;195 cm;Décédé(e);"Chapitre 444 ; Épisode 339";Suke Suke no Mi;Aucune
aisa;Aisa;Shandia;Wagomuland;Aisa;;;;;Skypiea;Shandia;Aisa;;;Civil;Skypiea;;11 ans;140 cm;Vivant(e);"Chapitre 249 ; Épisode 161";Aucun;Aucune
aladdin;Aladdin;Sun Pirates;Ryugu Kingdom;Aradin;Unknown;;Pirate;"Doctor; First Mate; Soldier; Slave";Ryugu Kingdom;L'Équipage des Pirates du SoleilFamille Charlotte, défection;Aladdin, Aradin;;;Capitaine Pirate, supposé, Second DocteurRoyaume Ryugu;Île des Hommes-Poissons, Royaume Ryugu;Inconnue;46 ans;627 cm;Vivant(e);"Chapitre 620 ; Épisode 540";Aucun;Inconnu
alber;Alber;Beasts Pirates;Aucune;Arber,Aruberu,English versions: 'Alber,King the Conflagration,Kasai no Kingu,English versions: 'King the Wildfire,Kingu;1,390,000,000;Ancient Zoan;All-Star;;Grand Line;Équipage des cent bêtes;King l'Incendie, Alber, Aruberu, Kasai no Kingu;Zoan Antique;Pays des Wa;Pirate Calamité;Grand Line;1.390.000.000;47 ans;613 cm;Vivant(e);"Chapitre 925 ; Épisode 918";Ryu Ryu no Mi, Model: Pteranodon;1 390 000 000
alvida;Alvida;Cross Guild;Buggy's Delivery, Buggy and Alvida Alliance,Buggy Pirates,Alvida Pirates;Iron Mace,Kanabo,English versions: 'Iron Club,Arubida;5,000,000;Paramecia;Pirate Captain;;East Blue;Alliance Baggy et AlvidaÉquipage d'AlvidaCross Guild;Arbyda, Alvida à la Massue, Alvida, Arubida, Kanabō no Arubida;Paramecia;Île de Kalai BaliÎle de Goat;Capitaine Pirate Pirate;East Blue;5.000.000;27 ans;198 cm;Vivant(e);"Chapitre 2 ; Épisode 1";Sube Sube no Mi;5 000 000
baskerville;Baskerville;Enies Lobby;World Government;Bas,Basu,left,*,And,Ando,middle,*Kerville,Kabiru,right,Three-Headed Baskerville,3,Mitsu-Kubi no Basukabiru,Basukabiru;;;Chief Justices of Enies Lobby;;Grand Line;Gouvernement Mondial Enies Lobby;Baskerville le Tricéphale, Baskerville, Bas And Kerville, Basukabiru, Mitsu-Kubi no Basukabiru, Basu, gauche, Ando, milieu, Kabiru, droite;;;Juge du Tribunal;Grand Line;;Bas 48 ans, And 53 ans, Kerville 42 ans;512 cm;Inconnu;"Chapitre 379 ; Épisode 267";Aucun;Aucune
arlong;Arlong;Arlong Pirates;Sun Pirates,Impel Down;Arlong the Saw,Nokogiri no Aron,English versions: 'Saw-Tooth Arlong,Aron;20,000,000;;Pirate Captain;Prisoner of the Great Prison;Ryugu Kingdom;Équipage d'ArlongL'Équipage des Pirates du Soleil;Arlong la Scie, Arlong, Āron, Nokogiri no Āron;;Arlong Park;Capitaine Pirate;Île des Hommes-Poissons, Royaume Ryugu;20.000.000;41 ans;263 cm;Vivant(e);"Chapitre 69 ; Épisode 31";Aucun;20 000 000
avalo-pizarro;Avalo Pizarro;Blackbeard Pirates;Impel Down;Corrupt King,Akusei-O,Abaro Pisaro;Unknown;Paramecia;Titanic Captain, Captain of the Fourth Ship;"Prisoner of the Great Prison; King";North Blue;Équipage de Barbe NoireImpel Down;"Le Roi Dépravé"" Le Tyran, Avalo Pizarro, Abaro Pisaro, Akusei-Ō, Ancienne édition";Paramecia;Île des Pirates;PirateCommandant de la 4e flotte de l'équipage de Barbe NoirePrisonnier d'Impel Down Roi;North Blue;100.000.000;42 ans;505 cm;Vivant(e);"Chapitre 575 ; Épisode 484";Shima Shima no Mi;Inconnu
babe;Babe;New Spiders Cafe;Baroque Works;Mr. 4,Misuta Fo,BStation: 'Mr. Four,Catcher-Killing' Babe,Kyatcha-Goroshi no Bebu,Bebu;3,200,000;;Cafe Delivery Boy;Officer Agent;Grand Line;Baroque Works;Mr. 4, Babe l'Attrapeur Tueur, Babe, Bēbu, Misutā Fō, Kyatchā-Koroshi no Bēbu;;;Co-propriétaire de Spiders CaféAgent Officier de Baroque Works Prisonnier des Marines;Grand Line;3.200.000;30 ans;218 cm;Vivant(e);"Chapitre 160 ; Épisode 103";Aucun;3 200 000
baby-5;Baby 5;Happo Navy;Chinjao Family,Straw Hat Grand Fleet,Donquixote Pirates;Bebi Faibu;;Paramecia;Pirate;"Pirate Officer; Servant; Assassin";North Blue;Équipage de Don Quijote Flotte de HappouArmada de Chapeau de Paille;Baby 5, Bebī Faibu;Paramecia;Village de Kuen Spider Miles Dressrosa Pays des Fleurs;PirateSoubretteTueuse;North Blue;;24 ans;181 cm;Vivant(e);"Chapitre 682 ; Épisode 608";Buki Buki no Mi;Inconnu
baggy;Baggy;NEO MADS;Donquixote Pirates,Marines,MADS;Cedar,Shida,Gangster' Gastino,Gyangusuta Gasutino,Master,M,Masuta,Shiza Kuraun;300,000,000;Logia;Scientist;;Grand Line;Cross GuildLes Pirates d'ExpéditionAlliance Baggy et AlvidaÉquipage du ClownSept grands corsaires L'Équipage des Pirates Roger Quatre Empereurs;Le Clown, l'Immortel, Le Clown Pirate, Le Clown Star, Le clown aux mille pièces, Baggy, Bagī, Dōke no Bagī;Paramecia;Île de Kalai BaliOrange Town;Capitaine PirateEmpereurGrand corsaire Mousse Pirate;Grand Line;318 900 000 015 000 000;39 ans;192 cm;Vivant(e);"Chapitre 9 ; Épisode 4";Bara Bara no Mi;3 189 000 000
bartholomew-kuma;Bartholomew Kuma;Freedom Fighters;Pacifista,Revolutionary Army,Seven Warlords of the Sea,Sorbet Kingdom;PX-0,Piekkusu Zero,Kumachi,Kuma-chi,Tyrant,Bokun,Pacifist,Heiwashugi-sha,Hero,Hiro,Basoromyu Kuma;296,000,000;Paramecia;Army Commander of the Revolutionary Army;"Slave; Warlord of the Sea; King of Sorbet Kingdom; Pastor";Sorbet Kingdom;Sept grands corsaires Révolutionnaires Royaume de Sorbet;"PX-0""Invincible Esclave""""Kumachi, Le Tyran/Le Souverain Diabolique"" Pacifista Super-Héros, Bartholomew Kuma, Bartholomew KumaBatholomew Kuma, Bāsoromyū Kuma, Kuma-chī, Bōkun, Heiwashugi-sha, Sūpāhīrō";Paramecia;Baltigo;EsclavePirate Grand corsaire Membre des RévolutionnairesSouverain Pasteur;South Blue, Royaume de Sorbet;296.000.000;47 ans;689 cm;Vivant(e);"Chapitre 233 ; Épisode 151";Nikyu Nikyu no Mi;296 000 000
bartolomeo;Bartolomeo;Barto Club;his own Mafia Family,Straw Hat Grand Fleet;Bartolomeo the Cannibal,Hitokui no Barutoromeo,'Man-Eater Bartolomeo,Barutoromeo;200,000,000;Paramecia;Captain of the Second Ship of the Straw Hat Grand Fleet;"Pirate Captain; Mafia Leader";East Blue;La Grande Flotte du Chapeau de Paille, L'Équipage de Bartolomeo;Le Rookie Fou, Le Cannibale, Bartolomeo, Barutoromeo;Paramecia;;"Capitaine Pirate; Caïd";East Blue;"150 000 000 ; 200 000 000";24 ans;220 cm;Inconnu;"Chapitre 705 ; Épisode 634";Bari Bari no Mi;200 000 000
basil-hawkins;Basil Hawkins;Hawkins Pirates;Beasts Pirates;Magician,Majutsushi,Bajiru Hokinsu;320,000,000;Paramecia;Pirate;"Captain; Shinuchi";North Blue;Équipage de HawkinsOnze SupernovaeÉquipage des cent bêtes;Le SorcierLe Magicien, Basil Hawkins, Bajiru Hōkinsu, Majutsushi;Paramecia;;Pirate, Capitaine Pirates/Génération Terrible;North Blue;320.000.000249.000.000;31 ans;210 cm;Inconnu;"Chapitre 498 ; Épisode 392";Wara Wara no Mi;320 000 000
bastille;Bastille;Marines;Aucune;Shark Cutter,Same-kiri,Shark Slicer,Basutiyu;500,000,000;;Vice Admiral;;Grand Line;Marines;Le Trancheur de Requins, Bastille, Basutīyu, Kattāsame;;;Vice-Amiral;Grand Line;;38 ans;291 cm;Vivant(e);"Chapitre 553 ; Épisode 462";Aucun;Au moins 500 000 000
bellamy;Bellamy;Donquixote Pirates;Bellamy Pirates;Bellamy the Hyena,Haiena no Berami,Deadly Bullet of Dressrosa,Doresuroza no kyodan,The Big-Time Rookie,Ogata Ruki,Berami;195,000,000;Paramecia;Dyer;Pirate Captain;Notice;L'Équipage de Bellamy L'Équipage de Don Quichotte Doflamingo;"Bellamy la Hyène"" ; ""Le Plus Grand Rookie de Tous les Temps"" ; ""Le Pirate Sauvage""; ""La Bombe Meurtrière de Dressrosa, Bellamy, Beramī, Haiena no Beramī, Ōgata Rūkī";Paramecia;Notice Dressrosa Mock Town;Capitaine Pirate Gladiateur Teinturier pour La Grande Flotte du Chapeau de Paille;North Blue;195.000.000;27 ans;240 cm;Vivant(e);"Chapitre 222 ; Épisode 146";Bane Bane no Mi;195 000 000
belo-betty;Belo Betty;Revolutionary Army;East Army;Bero Beti;457,000,000;Paramecia;East Army Commander of the Revolutionary Army;;East Blue;Révolutionnaires;Belo Betty, Bero Beti;Paramecia;;Commandante Armée Est;East Blue;457.000.000;34 ans;196 cm;Vivant(e);"Chapitre 904 ; Épisode 880";Kobu Kobu no Mi;457 000 000
bentham;Bentham;Newkama Land;Baroque Works;Mr. 2 Bon Kurei,Mr. 2,Misuta Tsu Bon Kure,Official Translation: Mr. 2 Bon Clay,Bentham of the Wild,Koya no Bensamu,Bensamu;32,000,000;Paramecia;Queen of Newkama Land;"Officer Agent; Prisoner of the Great Prison";East Blue;New Comer LandBaroque Woks;Mr 2 Bon Clay, Bentham le Sauvage, Bentham, Bensamu, Misutā Tsū Bon Kurē, Kōya no Bensamu;Paramecia;;OkamaReine de Newkama LandAgent Officier;East Blue;32.000.000, capturé;32 ans;238 cm;Vivant(e);"Chapitre 129 ; Épisode 78";Mane Mane no Mi;32 000 000
bepo;Bepo;Heart Pirates;Ninja-Pirate-Mink-Samurai Alliance;Bepo;1,5;;Pirate;"Navigator; Guardians' helper";Mokomo Dukedom;Équipage du HeartTribu des MinksAlliance des Ninjas-Pirates-Minks-Samouraïs;Bepo;;Île de Swallow;PirateNavigateur;Zou;1 500 500;22 ans;240 cm;Vivant(e);"Chapitre 498 ; Épisode 392";Aucun;1 500
black-maria;Black Maria;Beasts Pirates;Tobiroppo;Burakkumaria;480,000,000;Ancient Zoan;Shinuchi;Brothel owner;Wano Country;Équipage des cent bêtes;Black Maria, Burakku Maria;Zoan Antique;Île Onigashima;Tobiroppo Oiran;Pays des Wa;480.000.000;29 ans;820 cm;Vivant(e);"Chapitre 977 ; Épisode 982";Kumo Kumo no Mi, Model: Rosamygale Grauvogeli;480 000 000
blue-gilly;Blue Gilly;Ideo Pirates;Straw Hat Grand Fleet;Buru Giri;;;Martial Artist, Pirate;;Grand Line;L'Équipage d'Ideo La Grande Flotte du Chapeau de Paille;Blue Gilly, Burū Girī;;;Expert en art martial;Grand Line;;24 ans;314 cm;Vivant(e);"Chapitre 706 ; Épisode 636";Aucun;Inconnu
bluejam;Bluejam;Bluejam Pirates;Aucune;Burujamu;14,300,000;;Pirate;Captain;Goa Kingdom;L'Équipage de Bluejam;Bluejam, Burūjamu;;;Capitaine Pirate;Royaume de Goa;14.300.000;42 ans;261 cm;Inconnu;"Chapitre 584 ; Épisode 494";Aucun;14 300 000
