id;local_name;en_wiki_mainaffiliation;en_wiki_subaffiliations;en_wiki_age;en_wiki_aliases;en_wiki_bounty;en_wiki_dfname;en_wiki_dftype;en_wiki_first;en_wiki_height;en_wiki_occupation_actuelle;en_wiki_autres_occupations;en_wiki_origin;en_wiki_status;fr_wiki_affiliation;fr_wiki_âge;fr_wiki_aliases;fr_wiki_dfnom;fr_wiki_dftype;fr_wiki_lieuvie;fr_wiki_occupation;fr_wiki_origine;fr_wiki_première;fr_wiki_prime;fr_wiki_statut;fr_wiki_taille
hiluluk;Hiluluk;Drum Island;Aucune;68;Dokuta Hiruruku;;;;"Chapter 141; Episode 85";213 cm;Doctor;Thief;Drum Kingdom;Deceased;Royaume des Cerisiers;68 ans;"""Dr. Hiriluk"" (Dr.ヒルルク, Dokutā Hiruruku), Hiluluk, ヒルルク, Hiruruku";;;;Docteur Voleur;Île de Drum;"Chapitre 140 ; Épisode 85Chapitre 0 ; Épisode 0";;Décédé;2m13
tom;Tom;Tom's Workers;Aucune;67;Tomu;;;;"Chapter 352; Episode 248";296 cm;Shipwright;;Ryugu Kingdom;Deceased;Tom's Workers;67 ans (lors du décès);"Tom, トム, Tomu";;;;Charpentier;Île des Hommes-Poissons (Royaume Ryugu);"Chapitre 352 ; Épisode 248Chapitre 0 ; Épisode 0";;Décédé;2m96
vegapunk;Vegapunk;MADS;"Marines, SSG";65;"Stella,Sutera,kanji literally meaning 'Main Body,The Man With the Best Brain in the World,Sekaiichi no Zuno o Motsu Otoko,'The Smartest Man in the World,Dokuta Begapanku";;Nomi Nomi no Mi;Paramecia;"Chapter 684; Episode 610 (shadowed)Chapter 1061; Episode 1090 (satellite)Chapter 1066; Episode 1096";314cm;Scientist;;Karakuri Island;Deceased;Gouvernement MondialMADS;65 ans;"""Stella"" (本体（ステラ）, Sutera), ""Dr. Vegapunk"" (Dr.ベガパンク, Dokutā Begapanku), Végapunk, ベガパンク, Begapanku";"Nomi Nomi no Mi, Fruit du ciboulot";Paramecia;Punk Hazard Île d'Egg Head;ScientifiqueLauréat du Prix Ibel de la paix;Grand Line (Baldimore);"Chapitre 1066 ; Épisode 1096Chapitre 1061 (satellite)Chapitre 433 ; Épisode 315 (mentionné)";;Décédé;"3m14 (10'4"")"
kurozumi-orochi;Kurozumi Orochi;Kurozumi Family;"Beasts Pirates, Wano";54;Kurozumi Orochi;;"Hebi Hebi no Mi, Model: Yamata no Orochi";Mythical Zoan;"Chapter 927; Episode 921";350 cm;Shogun of Wano Country;;Wano Country;Deceased;Équipage des cent bêtes;54 ans;"Kurozumi Orochi, Orochi Kurozumi, 黒炭オロチ";"Hebi Hebi no Mi, modèle Yamata no Orochi, Fruit du Reptile, modèle Serpent à Huit Têtes";Zoan Mythique;Pays des Wa;Ancien shogun du pays des Wa;Pays des Wa;"Chapitre 927 ; Épisode 921";;Décédé;3m50
gol-d-roger;Gol D. Roger;Roger Pirates;Clan of D.;53;"Gold Roger,Gorudo Roja,Pirate King,Kaizoku-O,King of the Pirates,English versions,Goru Di Roja";"5,564,800,000";;;"Chapter 1; Episode 1";274 cm;Pirate Captain;;Loguetown;Deceased;L'Équipage des Pirates Roger East Blue (Loguetown);53 ans (lors de sa mort);"""Gold Roger"" (ゴールド・ロジャー, Gōrudo Rojā), Gold D. Roger (Hachette), ""Le Roi des Pirates"" (海賊王,Kaizoku-Ō), Gol D. Roger, ゴール・D・ロジャー, Gōru Dī Rojā";;;;Capitaine Pirate Roi des Pirates;Logue Town;"Chapitre 1 ; Épisode 1Chapitre 0 ; Épisode 0";5.564.800.000;Décédé;2m74
fisher-tiger;Fisher Tiger;Sun Pirates;Fish-Man District;48;"The Adventurer,Bokenka,Hero of Slaves,Dorei Kaiho no Eiyu,Fissha Taiga";"230,000,000";;;"Chapter 521; Episode 415";520 cm;Adventurer;"Pirate; Captain; De-facto Leader of Fish-Man District; Slave";Ryugu Kingdom;Deceased;L'Équipage des Pirates du SoleilDistrict des Hommes-Poissons;48 ans;"""L'Aventurier"" (冒険家, Bōkenka)""Le Héros des Esclaves"" (奴隷解放の英雄, Dorei Kaihō no Eiyū), Fisher Tiger, フィッシャー・タイガー, Fisshā Taigā";;;;AventurierCapitaine PirateLeader du District des Hommes-Poissons;Île des Hommes-Poissons (Royaume Ryugu);"Chapitre 521 ; Épisode 415";230.000.000;Décédé;5m20
vergo;Vergo;Donquixote Pirates;"Marines,Marine G-5";41;"Corazon,Korason,Demon Bamboo' Vergo,Kichiku no Verugo,Verugo";;;;"Chapter 671; Episode 597";247 cm;Pirate Elite Officer;"Vice Admiral; Head of G-5; Marine Captain";North Blue;Deceased;L'Équipage de Don Quichotte Doflamingo Marines G-5;41 ans;"""Le Démon au Bambou"" (鬼竹のヴェルゴ, Kichiku no Verugo) ""Corazon"" (コラソン, Korason), Vergo, ヴェルゴ, Verugo";;;G-5;Pirate Vice-Amiral Corazon;North Blue;"Chapitre 671 ; Épisode 597";;Décédé;2m47
kalgara;Kalgara;Shandia;Aucune;39;"The Demon of Shandora,Shandora no Mamono,The Great Warrior of Shandora,Shandora no Dai Senshi,Karugara";;;;"Chapter 286; Episode 187";222 cm;Warrior;;Jaya;Deceased;Shandias;39 ans;"""Le Démon de Shandora"" (シャンドラの魔物, Shandora no Mamono), Kalgara, Calgara, カルガラ, Karugara";;;;Guerrier;Grand Line;"Chapitre 286 ; Épisode 187";;Décédé;2m22
kozuki-oden;Kozuki Oden;Kouzuki Family;"Roger Pirates,Whitebeard Pirates";39;"Idiot Lord,Bakatono,'Fool of a Lord,Kozuki Oden";Unknown;;;"Chapter 920; Episode 910";382 cm;Samurai;"Daimyo; Pirate; 2nd Division Commander";Wano Country;Deceased;Famille Kozuki Équipage des Pirates de Roger Équipage de Barbe Blanche;39 ans;"Kozuki Oden, Oden Kozuki, 光月おでん, Kōzuki Oden";;;Pays de Wa Kuri;Pirate Shogun du pays de Wa Commandant de la 2e division de l'équipage de Barbe Blanche;Pays des Wa;Chapitre 959;Inconnue;Décédé;3m82
otohime;Otohime;Neptune Family;Ryugu Kingdom;36;"Incarnation of Love,Ai no Keshin,Otohime";;;;"Chapter 621; Episode 539 (image), Episode 540";224 cm;Queen of the Ryugu Kingdom;;Ryugu Kingdom;Deceased;"Île des Hommes-Poissons; Famille Royale; Royaume Ryugu";36 ans;"""Incarnation de l'Amour"" (愛の化身 Ai no Keshin), Otohime, オトヒメ";;;;Reine du Royaume Ryugu;Île des Hommes-Poissons (Royaume Ryugu);"Chapitre 621; Épisode 540";;Décédée;2m24
yorle;Yorle;Giant Warrior Pirates;Elbaph;344;"Waterfall Beard' Jorul,Takihige no Yoruru,Beardfall,Yoruru";;;;"Chapter 866; Episode 836";2150 cm;Pirate Captain;;Elbaph;Deceased;L'Équipage des Géants Erbaf;344 ans;"Yorle ""Barbecade"" (滝ひげのヨルル, Takihige no Yoruru, Glénat: Jorl à la Barbe en cascade), Yorle, Jorl, ヨルル, Yoruru";;;Erbaf;Pirate Capitaine;Erbaf;"Chapitre 866 ; Épisode 836";;Décédé;21m50
kurozumi-kanjuro;Kurozumi Kanjuro;Kurozumi Family;"Kouzuki Family,Nine Red Scabbards,Ninja-Pirate-Mink-Samurai Alliance,Beasts Pirates";34;"Evening Shower,Yudachi,Ghost of Kibi,Kibi no Yokai,VIZ Media: Goblin of Kibi,Kurozumi Kanjuro";;Fude Fude no Mi;Paramecia;"Chapter 700; Episode 629";347 cm;Theatre Performer;"Spy of the Kurozumi Family; Samurai; Retainer of the Kouzuki Family";Wano Country;Deceased;Famille KurozumiFamille Kozuki Neuf Fourreaux Rouges Alliance des Ninjas-Pirates-Minks-Samouraïs;34 ans;"""La Douche du Soir"" (夕立ち Yūdachi), ""L'Orageux"" (VF), Kurozumi Kanjuro, Kanjuro Kurozumi, 黒炭カン十郎, Kurozumi Kanjūrō";Fude Fude no Mi;Paramecia;;Samouraï;Pays des Wa;"Chapitre 700 ; Épisode 629";;Décédé;3m47
nico-olvia;Nico Olvia;Ohara Archaeologists;Aucune;33;Niko Orubia;"79,000,000";;;"Chapter 392; Episode 275";186 cm;Archaeologist;;Ohara;Deceased;Ohara;33 ans;"Nico Olvia, ニコ･オルビア, Niko Orubia";;;;Archéologue;West Blue (Ohara);"Chapitre 392 ; Épisode 275";79 000 000;Décédée;1m86
pedro;Pedro;Mokomo Dukedom;"Guardians,Ninja-Pirate-Mink-Samurai Alliance,Nox Expedition Party\Pirates";32;"Pedro of the Treetops,Ki no Ue no Pedoro,'Treetop Pedro,Pedoro";"382,000,000";;;"Chapter 805; Episode 754";233 cm;Captain of the Guardians;"Pirate Captain; Explorer";Mokomo Dukedom;Deceased;"Zo, Pirates de Nox";32 ans (biologiquement) 82 ans (espérance de vie dépensée);"""Pedro des cimes"" (木の上のペドロ, Ki no Ue no Pedoro); Glénat: ""Pedro le perché"", Pedro, ペドロ, Pedoro";;;;"Capitaine des Gardiens de Zo, Pirates, Capitaine";Zou (Principauté de Mokomo);"Chapitre 805, Épisode 754";"382,000,000";Décédé;2m33
monet;Monet;Caesar Clown;Donquixote Pirates;30;Mone;;Yuki Yuki no Mi;Logia;"Chapter 657; Episode 581";227 cm;Caesar's secretary;"Doflamingo's spy; Pirate Officer";North Blue;Deceased;"César Clown (espionnage), Équipage de Don Quijote";30 ans;"""La Femme-Neige"" (雪女 Yuki-Onna), Monet, モネ, Mone";"Yuki Yuki no Mi, Fruit du Flocon";Logia;Punk Hazard Dressrosa;"Secrétaire (couverture), Espionne Pirate";North Blue;"Chapitre 657 ; Épisode 581";;Décédée;2m27
bellemere;Bellemere;Marines;Aucune;30;Berumeru;;;;"Chapter 77; Episode 32";186 cm;Mikan Farmer;Marine Officer;Conomi Islands;Deceased;;;"Des liens hantés qui refont surface ! Nami et l'équipage des Hommes-Poissons !, 蘇る因縁！ ナミと魚人化遺族団！, Yomigaeru Innen! Nami to Gyōjin Kaizokudan!";;;;;;;;;
don-quichotte-rossinante;Don Quichotte Rossinante;Marines;"Donquixote Pirates,World Government";26;"Corazon,Korason,Donkihote Roshinante";;Nagi Nagi no Mi;Paramecia;"Chapter 761; Episode 686";293 cm;Marine Commander;"Pirate Elite Officer; World Noble";Mary Geoise;Deceased;L'Équipage de Don Quichotte Doflamingo Famille Don Quichotte;26 ans;"""Corazon"" (コラソン, Korason) ""Cora"", Don Quichotte Rossinante, Donquichotte Rosinante, ドンキホーテ・ロシナンテ, Donkihote Roshinante";"Nagi Nagi no Mi, Fruit de la Sourdine";Paramecia;Mary Geoise Spider Miles;Commandant Pirate Dragon Céleste Mentor de Trafalgar Law;Red Line (Mary Geoise);"Chapitre 749 ; Épisode 686 (mentionné)Chapitre 761 ; Épisode 700";;Décédé;2m93
porchemy;Porchemy;Bluejam Pirates;Aucune;25;Porushemi;"3,400,000";;;"Chapter 583; Episode 494";320 cm;Pirate;;Goa Kingdom;Deceased;L'Équipage de Bluejam;25 ans (lors du décès);"Porchemy, ポルシェーミ, Porushēmi";;;;Pirate;East Blue (Royaume de Goa);"Chapitre 583 ; Épisode 494";3.400.000;Décédé;3m20
portgas-d-ace;Portgas D. Ace;Whitebeard Pirates;"Spade Pirates,Clan of D.,Dadan Family,Impel Down";20;"Gol D. Ace,D,Goru D. Esu,Fire Fist' Ace,Hiken no Esu,Heat Fist Trace' in the edited dub,Potogasu Di Esu";"550,000,000";Mera Mera no Mi;Logia;"Chapter 154; Episode 91";185 cm;2nd Division Commander;"Pirate; Captain; Prisoner of the Great Prison; Thief; Bandit";Baterilla;Deceased;Équipage de Barbe BlancheL'Équipage des Pirates Spade;20 ans;"""Ace Au Poing Ardent"" (火拳のエース, Hiken No Ēsu), Portgas D. Ace, ポートガス・D・エース, Pōtogasu Dī Ēsu";"Mera Mera no Mi, Fruit Pyrogène (manga), Pyro-Fruit (anime)";Logia;Mont Corvo;"Commandant de la 2e Division de l'équipage de Barbe BlanchePirate, Capitaine";South Blue (Baterilla);"Chapitre 154 ; Épisode 91Chapitre 0 ; Épisode 0";550.000.000;Décédé;1m85
oars;Oars;Thriller Bark Pirates;Aucune;159;"Devil,Majin,'Beast,Continent-Puller,Kunihiki,Ozu";;;;"Chapter 456; Episode 350";6700 cm;Special Zombie;Leader of clan of evil giants;North Blue;Deceased;Thriller Bark;159 ans;"Odz, ""Le Démon"" (魔人, Majin), ""Le Transporteur de Continents"" (国引き, Kunihiki), Oars, Oz, オーズ, Ōzu";;;;"Zombie Spécial, leader d'une nation dans le nord regroupant tous les bandits arrêtés.";North Blue;"Chapitre 456; Épisode 350";;Décédé;67m
shimotsuki-kuina;Shimotsuki Kuina;Shimotsuki Family;Aucune;11;Shimotsuki Kuina;;;;"Chapter 5; Episode 2";150 cm;Trainee Swordsman;;Shimotsuki Village;Deceased;Famille Shimotsuki;11 ans;"Shimotsuki Kuina, 霜月 くいな";;;Village de Shimotsuki;Apprentie épéiste;Village de Shimotsuki;"Chapitre 5 ; Épisode 2";;Décédée;1m50
absalom;Absalom;Equipage de Gecko Moria;"Mysterious Four, Thriller Bark";36;"Absa,Abusa,Absalom of the Graveyard,Hakaba no Abusaromu,Abusaromu";;Suke Suke no Mi;Paramecia;"Chapter 444; Episode 339";195 cm;ReporterSoldier Zombies and General Zombies Commander;;West Blue;Deceased;Gecko MoriaThriller BarkQuatre Mystérieux;36 ans;"""Absalom du Tombeau"" (墓場のアブサロム, Hakaba no Abusaromu), Absalom, アブサロム, Abusaromu";"Suke Suke no Mi, Fruit de l'Invisibilité";Paramecia;;Commandant en Chef des Zombies et des Soldats Zombie Reporter;West Blue;"Chapitre 444 ; Épisode 339";;Décédé;1m95
aisa;Aisa;Shandia;Wagomuland;11;Aisa;;;;"Chapter 249; Episode 161";140 cm;;;Skypiea;Alive;Shandia;11 ans;"Aisa, アイサ";;;;Civil;Îles Célestes (Skypiea);"Chapitre 249 ; Épisode 161";;Vivante;1m40
aladdin;Aladdin;Sun Pirates;Ryugu Kingdom;46;Aradin;Unknown;;;"Chapter 620; Episode 540";627 cm;Pirate;"Doctor; First Mate; Soldier; Slave";Ryugu Kingdom;Alive;L'Équipage des Pirates du SoleilFamille Charlotte (défection);46 ans;"Aladdin, アラディン, Aradin";;;;"Capitaine Pirate (supposé), Second DocteurRoyaume Ryugu (résigné)";Île des Hommes-Poissons (Royaume Ryugu);"Chapitre 620 ; Épisode 540";Inconnue;Vivant;6.27 m
alber;Alber;Beasts Pirates;Aucune;47;"Arber,Aruberu,English versions: 'Alber,King the Conflagration,Kasai no Kingu,English versions: 'King the Wildfire,Kingu";"1,390,000,000";"Ryu Ryu no Mi, Model: Pteranodon";Ancient Zoan;"Chapter 925; Episode 918";613 cm;All-Star;;Grand Line;Alive;Équipage des cent bêtes;47 ans;"""King l'Incendie"" (火災のキング, Kasai no Kingu), Alber, アルベル, Aruberu";"Ryu Ryu no Mi, modèle Ptéranodon, Fruit du Dinosaure Version Ptéranodon";Zoan Antique;Pays des Wa;Pirate Calamité;Grand Line;"Chapitre 925 ; Épisode 918";1.390.000.000;Inconnu;6m13
alvida;Alvida;Cross Guild;"Buggy's Delivery, Buggy and Alvida Alliance,Buggy Pirates,Alvida Pirates";27;"Iron Mace,Kanabo,English versions: 'Iron Club,Arubida";"5,000,000";Sube Sube no Mi;Paramecia;"Chapter 2; Episode 1";198 cm;Pirate Captain;;East Blue;Alive;Alliance Baggy et AlvidaÉquipage d'AlvidaCross Guild;27 ans;"Arbyda, Alvida à la Massue (金棒のアルビダ, Kanabō no Arubida), Alvida, アルビダ, Arubida";"Sube Sube no Mi, Fruit Glisse-Glisse";Paramecia;Île de Kalai BaliÎle de Goat;Capitaine Pirate Pirate;East Blue;"Chapitre 2 ; Épisode 1";5.000.000;Vivante;1m98
baskerville;Baskerville;Enies Lobby;World Government;48;"Bas,Basu,left,*,And,Ando,middle,*Kerville,Kabiru,right,Three-Headed Baskerville,3,Mitsu-Kubi no Basukabiru,Basukabiru";;;;"Chapter 379; Episode 267";512 cm;Chief Justices of Enies Lobby;;Grand Line;Unknown;Gouvernement Mondial Enies Lobby;Bas : 48 ansAnd : 53 ansKerville : 42 ans;"""Baskerville le Tricéphale"" (3つ首のバスカビル, Mitsu-Kubi no Basukabiru), Baskerville, Bas (バス, Basu) (gauche)And (アンド, Ando) (milieu)Kerville (カビル, Kabiru) (droite), バスカビル, Basukabiru";;;;Juge du Tribunal;Grand Line;"Chapitre 379 ; Épisode 267";;Vivant;5m12
arlong;Arlong;Arlong Pirates;"Sun Pirates,Impel Down";41;"Arlong the Saw,Nokogiri no Aron,English versions: 'Saw-Tooth Arlong,Aron";"20,000,000";;;"Chapter 69; Episode 31";263 cm;Pirate Captain;Prisoner of the Great Prison;Ryugu Kingdom;Alive;Équipage d'ArlongL'Équipage des Pirates du Soleil;41 ans;"""Arlong la Scie"" (ノコギリのアーロン, Nokogiri no Āron), Arlong, アーロン, Āron";;;Village de Kokoyashi (Arlong Park);Capitaine Pirate;Île des Hommes-Poissons (Royaume Ryugu);"Chapitre 69 ; Épisode 31";20.000.000;Vivant;2m63
avalo-pizarro;Avalo Pizarro;Blackbeard Pirates;Impel Down;42;"Corrupt King,Akusei-O,Abaro Pisaro";Unknown;Shima Shima no Mi;Paramecia;"Chapter 575; Episode 484";505 cm;Titanic Captain (Captain of the Fourth Ship);"Prisoner of the Great Prison; King";North Blue;Alive;Équipage de Barbe NoireImpel Down;42 ans;"""Le Roi Dépravé"" (悪（アク）政（セイ）王（オウ）, Akusei-Ō?)Le Tyran (Ancienne édition), Avalo Pizarro, アバロ・ピサロ, Abaro Pisaro";"Shima Shima no Mi, Fruit de l'Île";Paramecia;Île des Pirates;PirateCommandant de la 4e flotte de l'équipage de Barbe NoirePrisonnier d'Impel Down Roi;North Blue;"Chapitre 575 ; Épisode 484";Au moins 100.000.000;Vivant;5m05
babe;Babe;New Spiders Cafe;Baroque Works;30;"Mr. 4,Misuta Fo,BStation: 'Mr. Four,Catcher-Killing' Babe,Kyatcha-Goroshi no Bebu,Bebu";"3,200,000";;;"Chapter 160; Episode 103";218 cm;Cafe Delivery Boy;Officer Agent;Grand Line;Alive;Baroque Works;30 ans;"""Mr. 4"" (ミスター・フォー, Misutā Fō), ""Babe l'Attrapeur Tueur"" (キャッチャー殺しのベーブ, Kyatchā-Koroshi no Bēbu), Babe, ベーブ, Bēbu";;;;Co-propriétaire de Spiders CaféAgent Officier de Baroque Works Prisonnier des Marines;Grand Line;"Chapitre 160 ; Épisode 103";3.200.000;;2m18
baby-5;Baby 5;Happo Navy;"Chinjao Family,Straw Hat Grand Fleet,Donquixote Pirates";24;Bebi Faibu;;Buki Buki no Mi;Paramecia;"Chapter 682; Episode 608";181 cm;Pirate;"Pirate Officer; Servant; Assassin";North Blue;Alive;Équipage de Don Quijote Flotte de HappouArmada de Chapeau de Paille;24 ans;"Baby 5, ベビー5, Bebī Faibu";"Buki Buki no Mi, Armo-Fruit";Paramecia;Village de Kuen Spider Miles Dressrosa Pays des Fleurs;PirateSoubretteTueuse;North Blue;"Chapitre 682 ; Épisode 608";;Vivante;1m81
baggy;Baggy;NEO MADS;"Donquixote Pirates,Marines,MADS";55;"Cedar,Shida,Gangster' Gastino,Gyangusuta Gasutino,Master,M,Masuta,Shiza Kuraun";"300,000,000";Gasu Gasu no Mi;Logia;"Chapter 658; Episode 581";309 cm;Scientist;;Grand Line;Alive;Cross GuildLes Pirates d'ExpéditionAlliance Baggy et AlvidaÉquipage du ClownSept grands corsaires L'Équipage des Pirates Roger Quatre Empereurs;39 ans;"""Le Clown"" (道（ドウ）化（ケ）のバギー, Dōke no Bagī), ""l'Immortel"", ""Le Clown Pirate"", ""Le Clown Star"", ""Le clown aux mille pièces"", Baggy, バギー, Bagī";"Bara Bara no Mi, Fruit de la fragmentation";Paramecia;Île de Kalai BaliOrange Town;Capitaine PirateEmpereurGrand corsaire Mousse (Pirate);Grand Line;"Chapitre 9 ; Épisode 4Chapitre 0 ; Épisode 0";3 189 000 00015 000 000;Vivant;1m92
